그룹,4개사,11개사,CIC,회사,년월,year,month,반기,분기,계정,항목,트랙터 매출액,트랙터 매출액 누계,트랙터 매출액(국내),트랙터 매출액(국내) 누계,트랙터 매출액(해외),트랙터 매출액(해외) 누계,트랙터 영업이익,트랙터 영업이익 누계,트랙터 영업이익(국내),트랙터 영업이익(국내) 누계,트랙터 영업이익(해외),트랙터 영업이익(해외) 누계,트랙터 조정영업이익,트랙터 조정영업이익 누계,트랙터 세전이익,트랙터 세전이익 누계,사출 매출액,사출 매출액 누계,사출 매출액(국내),사출 매출액(국내) 누계,사출 매출액(해외),사출 매출액(해외) 누계,사출 영업이익,사출 영업이익 누계,사출 영업이익(국내),사출 영업이익(국내) 누계,사출 영업이익(해외),사출 영업이익(해외) 누계,사출 조정영업이익,사출 조정영업이익 누계,사출 세전이익,사출 세전이익 누계,특수 매출액,특수 매출액 누계,특수 매출액(국내),특수 매출액(국내) 누계,특수 매출액(해외),특수 매출액(해외) 누계,특수 영업이익,특수 영업이익 누계,특수 영업이익(국내),특수 영업이익(국내) 누계,특수 영업이익(해외),특수 영업이익(해외) 누계,특수 조정영업이익,특수 조정영업이익 누계,특수 세전이익,특수 세전이익 누계,전자부품 매출액,전자부품 매출액 누계,전자부품 매출액(국내),전자부품 매출액(국내) 누계,전자부품 매출액(해외),전자부품 매출액(해외) 누계,전자부품 영업이익,전자부품 영업이익 누계,전자부품 영업이익(국내),전자부품 영업이익(국내) 누계,전자부품 영업이익(해외),전자부품 영업이익(해외) 누계,전자부품 조정영업이익,전자부품 조정영업이익 누계,전자부품 세전이익,전자부품 세전이익 누계,CF 매출액,CF 매출액 누계,CF 매출액(국내),CF 매출액(국내) 누계,CF 매출액(해외),CF 매출액(해외) 누계,CF 영업이익,CF 영업이익 누계,CF 영업이익(국내),CF 영업이익(국내) 누계,CF 영업이익(해외),CF 영업이익(해외) 누계,CF 조정영업이익,CF 조정영업이익 누계,CF 세전이익,CF 세전이익 누계,FCCL 매출액,FCCL 매출액 누계,FCCL 매출액(국내),FCCL 매출액(국내) 누계,FCCL 매출액(해외),FCCL 매출액(해외) 누계,FCCL 영업이익,FCCL 영업이익 누계,FCCL 영업이익(국내),FCCL 영업이익(국내) 누계,FCCL 영업이익(해외),FCCL 영업이익(해외) 누계,FCCL 조정영업이익,FCCL 조정영업이익 누계,FCCL 세전이익,FCCL 세전이익 누계,자동차부품 매출액,자동차부품 매출액 누계,자동차부품 매출액(국내),자동차부품 매출액(국내) 누계,자동차부품 매출액(해외),자동차부품 매출액(해외) 누계,자동차부품 영업이익,자동차부품 영업이익 누계,자동차부품 영업이익(국내),자동차부품 영업이익(국내) 누계,자동차부품 영업이익(해외),자동차부품 영업이익(해외) 누계,자동차부품 조정영업이익,자동차부품 조정영업이익 누계,자동차부품 세전이익,자동차부품 세전이익 누계,UC 매출액,UC 매출액 누계,UC 매출액(국내),UC 매출액(국내) 누계,UC 매출액(해외),UC 매출액(해외) 누계,UC 영업이익,UC 영업이익 누계,UC 영업이익(국내),UC 영업이익(국내) 누계,UC 영업이익(해외),UC 영업이익(해외) 누계,UC 조정영업이익,UC 조정영업이익 누계,UC 세전이익,UC 세전이익 누계,기타 매출액,기타 매출액 누계,기타 매출액(국내),기타 매출액(국내) 누계,기타 매출액(해외),기타 매출액(해외) 누계,기타 영업이익,기타 영업이익 누계,기타 영업이익(국내),기타 영업이익(국내) 누계,기타 영업이익(해외),기타 영업이익(해외) 누계,기타 조정영업이익,기타 조정영업이익 누계,기타 세전이익,기타 세전이익 누계,합계 매출액,합계 매출액 누계,합계 매출액(국내),합계 매출액(국내) 누계,합계 매출액(해외),합계 매출액(해외) 누계,합계 영업이익,합계 영업이익 누계,합계 영업이익(국내),합계 영업이익(국내) 누계,합계 영업이익(해외),합계 영업이익(해외) 누계,합계 조정영업이익,합계 조정영업이익 누계,합계 세전이익,합계 세전이익 누계
Y,Y,Y,N,엠트론,201310,2013,10,하반기,4분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201311,2013,11,하반기,4분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201312,2013,12,하반기,4분기, 사업별손익,계획,4.00E+11,4.00E+11,4.00E+11,4.00E+11,0,0,29000000000,29000000000,29000000000,29000000000,0,0,0,0,15596935712,15596935712,1.60E+11,1.60E+11,1.60E+11,1.60E+11,0,0,6000000000,6000000000,6000000000,6000000000,0,0,0,0,302242667,302242667,60000000000,60000000000,60000000000,60000000000,0,0,4000000000,4000000000,4000000000,4000000000,0,0,0,0,3397932100,3397932100,1.40E+11,1.40E+11,1.40E+11,1.40E+11,0,0,18800000000,18800000000,18800000000,18800000000,0,0,0,0,15331334700,15331334700,1.55E+11,1.55E+11,1.55E+11,1.55E+11,0,0,0,0,0,0,0,0,0,0,0,0,30000000000,30000000000,30000000000,30000000000,0,0,200000000,200000000,200000000,200000000,0,0,0,0,0,0,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,8500000000,8500000000,8500000000,8500000000,0,0,0,0,7735972167,7735972167,20000000000,20000000000,20000000000,20000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14402352908,14402352908,1.07E+12,1.07E+12,1.07E+12,1.07E+12,0,0,62500000000,62500000000,62500000000,62500000000,0,0,0,0,47636703804,47636703804
Y,Y,Y,N,엠트론,201401,2014,1,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201402,2014,2,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201403,2014,3,상반기,1분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201404,2014,4,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201405,2014,5,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201406,2014,6,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Y,N,엠트론,201407,2014,7,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
