그룹,4개사,11개사,CIC,회사,year,month,반기,분기,계정,항목,매출액_합계,국내_매출액,해외_매출액,해외_매출액_Million_USD,매출총이익,판매관리비,영업이익,영업이익률,기타영업손익_합계,기타영업손익_환관련실현손익,기타영업손익_환관련평가손익,기타영업손익_자산처분손익,기타영업손익_기타,조정영업이익,영업외손익_합계,영업외손익_순지급이자,영업외손익_환관련실현손익,영업외손익_환관련평가손익,영업외손익_지분법손익,영업외손익_자산처분손익,영업외손익_기타,세전이익,검증,세전이익률,법인세,중단사업손익,당기순이익,당기순이익_지배주주손익,당기순이익_비지배주주손익,영업이익_이자보상배율,수입이자,지급이자,EBITDA,환율(원/달러),동가(달러/톤),유동자산_합계,유동자산_현/예금,유동자산_재고자산,유동자산_매출채권,유동자산_   (미청구공사),유동자산_기타유동자산,비유동자산_합계,비유동자산_투자자산,비유동자산_유형자산,비유동자산_무형자산,비유동자산_기타비유동자산,자산_합계,부채_합계,부채_매입채무,부채_차입금,부채_기타부채,자기자본_합계,자기자본_자본금,자기자본_자본잉여금,자기자본_기타자본구성요소,자기자본_기타포괄손익누계액,자기자본_이익잉여금,자기자본_비지배주주지분,관리지표_부채비율(%),관리지표_운전자산회전일,관리지표_재고회전일,관리지표_차입금비율(%),관리지표_채권회전일
Y,N,Y,N,E1,2022,6,상반기,2분기,IS(연결),계획,"402,164,565,351","203,920,536,522","198,244,028,829",,"15,559,866,194","18,670,067,753","-3,110,201,559",-0.77,"3,593,428,036",0,0,0,"3,593,428,036","483,226,477","-1,036,990,229","-1,323,656,896",0,0,"286,666,667",0,0,"-553,763,752",,-0.14,"11,510,502",,"-565,274,254",,,-1.69,"515,984,778","1,839,641,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,6,상반기,2분기,IS(연결),실적,"630,725,829,424","291,211,541,763","339,514,287,661","266,506,839.30","24,976,573,151","17,851,977,597","7,124,595,554",1.13,"-74,085,250,084","-7,736,393,169","-26,074,853,469","12,495,063","-40,286,498,509","-66,960,654,530","754,519,457","-2,099,945,529",0,0,"837,153,315",0,"2,017,311,671","-66,206,135,073","-66,206,135,073",-10.5,"3,253,721,379",0,"-69,459,856,452","-66,526,754,242",0,2.54,"700,339,509","2,800,285,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,7,하반기,3분기,IS(연결),계획,"461,453,239,334","223,143,315,866","238,309,923,468",,"17,129,555,535","11,834,608,198","5,294,947,338",1.15,"3,432,931,240",0,0,0,"3,432,931,240","8,727,878,578","-1,131,470,330","-1,418,136,997",0,0,"286,666,667",0,0,"7,596,408,248",,1.65,"2,102,442,123",,"5,493,966,125",,,2.77,"496,798,179","1,914,935,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,7,하반기,3분기,IS(연결),실적,"726,672,883,201","333,742,607,716","392,930,275,485","302,523,764.00","52,050,603,643","12,276,379,718","39,774,223,925",5.47,"-32,763,776,311","-9,157,885,798","6,621,008,449","171,715,875","-30,398,614,837","7,010,447,614","-293,900,972","-1,996,334,773",0,0,0,"976,362,503","726,071,298","6,716,546,642","6,716,546,642",0.92,"-4,235,026",0,"6,720,781,668","3,787,679,458",0,14.1,"825,095,700","2,821,430,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,8,하반기,3분기,IS(연결),계획,"414,543,148,804","218,420,057,990","196,123,090,814",,"16,197,517,020","10,543,792,581","5,653,724,439",1.36,"3,452,028,891",0,0,0,"3,452,028,891","9,105,753,330","-1,360,218,154","-1,646,884,821",0,0,"286,666,667",0,0,"7,745,535,176",,1.87,"2,161,975,609",,"5,583,559,567",,,2.64,"497,246,877","2,144,131,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,8,하반기,3분기,IS(연결),실적,"615,890,260,317","328,998,968,444","286,891,291,873","214,365,644.10","46,224,599,377","11,559,382,664","34,665,216,713",5.63,"38,788,473,318","-6,720,704,750","-27,461,252,014","-34,970,820","73,005,400,902","73,453,690,031","-567,189,546","-2,220,440,292",0,0,0,0,"1,653,250,746","72,886,500,485","72,886,500,485",11.83,0,0,"72,886,500,485","72,886,500,485",0,10.16,"1,190,662,862","3,411,103,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,9,하반기,3분기,IS(연결),계획,"409,364,942,529","214,151,508,234","195,213,434,295",,"14,928,654,387","13,161,905,105","1,766,749,282",0.43,"3,311,124,525",0,0,0,"3,311,124,525","5,077,873,807","-1,177,010,921","-1,463,677,588",0,0,"286,666,667",0,0,"3,900,862,886",,0.95,"1,418,114,018",,"2,482,748,868",,,0.89,"517,120,535","1,980,798,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,9,하반기,3분기,IS(연결),실적,"590,784,389,187","294,576,125,208","296,208,263,979","209,561,170.50","65,666,002,902","13,427,885,453","52,238,117,449",8.84,"-96,992,696,253","-28,100,047,844","-32,186,131,855","60,615,993","-36,767,132,547","-44,754,578,804","1,276,838,675","-3,147,600,227",0,0,"899,428,177","478,510,142","3,046,500,583","-43,477,740,129","-43,477,740,129",-7.36,"11,752,781,149",0,"-55,230,521,278","-55,230,521,278",0,12.81,"930,969,595","4,078,569,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,10,하반기,4분기,IS(연결),계획,"415,572,787,162","220,638,600,416","194,934,186,746",,"16,278,216,664","11,911,855,310","4,366,361,355",1.05,"3,292,081,395",0,0,0,"3,292,081,395","7,658,442,750","-1,144,459,973","-1,431,126,640",0,0,"286,666,667",0,0,"6,513,982,777",,1.57,"1,964,423,317",,"4,549,559,460",,,2.26,"497,254,277","1,928,380,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,10,하반기,4분기,IS(연결),실적,"639,199,472,602","273,701,708,406","365,497,764,196","259,016,123.70","48,728,359,141","10,971,864,264","37,756,494,877",5.91,"72,757,569,100","-28,210,231,313","37,832,863,972","-89,046,607","63,223,983,048","110,514,063,977","-2,944,125,968","-2,512,926,157",0,0,0,0,"-431,199,811","107,569,938,009","107,569,938,009",16.83,"15,956,471",0,"107,553,981,538","107,553,981,538",0,10.49,"1,085,155,251","3,598,081,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,11,하반기,4분기,IS(연결),계획,"360,223,062,579","165,876,154,189","194,346,908,390",,"16,317,350,882","11,053,234,486","5,264,116,396",1.46,"3,135,508,590",0,0,0,"3,135,508,590","8,399,624,986","-1,094,178,944","-1,380,845,611",0,0,"286,666,667",0,0,"7,305,446,042",,2.03,"2,122,048,038",,"5,183,398,004",,,2.8,"497,743,287","1,878,588,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,11,하반기,4분기,IS(연결),실적,"635,132,806,286","266,408,678,707","368,724,127,579","270,317,770.00","4,337,450,083","12,748,563,070","-8,411,112,987",-1.32,"-14,133,485,727","15,957,993,100","43,595,702,840","-236,418,732","-73,450,762,935","-22,544,598,714","-5,164,179,651","-2,285,379,651",0,0,0,0,"-2,878,800,000","-27,708,778,365","-27,708,778,365",-4.36,"36,750,852",0,"-27,745,529,217","-27,745,529,217",0,-2.48,"1,104,644,790","3,390,024,441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,12,하반기,4분기,IS(연결),계획,"368,977,062,706","173,927,644,408","195,049,418,298",,"17,817,539,151","29,122,810,013","-11,305,270,862",-3.06,"3,067,183,584",0,0,0,"3,067,183,584","-8,238,087,278","-1,111,379,583","-1,398,046,246",0,0,"286,666,663",0,0,"-9,349,466,861",,-2.53,"-570,607,126",,"-8,778,859,735",,,-5.9,"516,684,215","1,914,730,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2022,12,하반기,4분기,IS(연결),실적,"626,473,676,486","281,731,652,177","344,742,024,309","265,939,958.60","95,721,632,882","43,404,713,536","52,316,919,346",8.35,"-46,880,789,550","19,702,710,098","15,089,280,131","550,556,426","-82,223,336,205","5,436,129,796","-916,525,082","-2,662,004,057",0,0,"993,899,556","381,582,123","369,997,296","4,519,604,714","4,519,604,714",0.72,"234,515,001",0,"4,285,089,713","4,285,089,713",0,14.5,"946,047,869","3,608,051,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,1,상반기,1분기,IS(연결),계획,"483,309,123,827","268,796,732,227","214,512,391,600",,"34,095,133,737","15,801,244,048","18,293,889,689",3.79,"-937,351,329","-924,244,033",0,0,"-13,107,296","17,356,538,360","-3,077,379,092","-3,368,128,392",0,0,"290,749,300",0,0,"14,279,159,268",,2.95,"3,455,556,543",,"10,823,602,725",,,4.91,"359,970,823","3,728,099,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,1,상반기,1분기,IS(연결),실적,"549,810,353,219","263,779,910,952","286,030,442,267","229,328,877.30","-4,628,077,108","13,776,498,842","-18,404,575,950",-3.35,"168,624,914,270","9,453,151,809","18,554,468,890","-64,156,041","140,681,449,612","150,220,338,320","-3,827,372,925","-3,426,620,048",0,0,0,0,"-400,752,877","146,392,965,395","146,392,965,395",26.63,"34,812,287",0,"146,358,153,108","146,358,153,108",0,-4.38,"778,573,195","4,205,193,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,2,상반기,1분기,IS(연결),계획,"474,101,002,100","258,642,746,100","215,458,256,000",,"34,068,583,378","12,850,715,146","21,217,868,232",4.48,"-958,415,238","-874,538,691",0,0,"-83,876,547","20,259,452,994","-3,764,285,620","-4,055,034,920",0,0,"290,749,300",0,0,"16,495,167,374",,3.48,"3,991,830,505",,"12,503,336,869",,,4.8,"362,793,887","4,417,828,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,2,상반기,1분기,IS(연결),실적,"643,914,175,053","239,684,583,809","404,229,591,244","318,931,673.50","37,285,045,868","12,776,411,591","24,508,634,277",3.81,"-62,424,800,596","-2,956,956,900","-54,573,122,138","9,597,026,924","-14,491,748,482","-37,916,166,319","-489,026,351","-3,108,606,586",0,0,0,"1,143,189,898","1,476,390,337","-38,405,192,670","-38,405,192,670",-5.96,"39,151,622",0,"-38,444,344,292","-38,444,344,292",0,5.92,"1,029,028,640","4,137,635,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,3,상반기,1분기,IS(연결),계획,"441,839,941,002","227,580,430,602","214,259,510,400",,"27,423,351,578","16,282,478,000","11,140,873,578",2.52,"-920,237,828","-731,225,708",0,0,"-189,012,120","10,220,635,750","-3,133,017,317","-3,423,766,617",0,0,"290,749,300",0,0,"7,087,618,433",,1.6,"1,715,203,661",,"5,372,414,772",,,2.89,"434,486,098","3,858,252,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,3,상반기,1분기,IS(연결),실적,"653,196,251,594","206,820,893,718","446,375,357,876","342,812,836.50","74,190,133,359","12,185,647,757","62,004,485,602",9.49,"-19,740,878,674","-11,737,762,876","19,322,363,695","9,959,015,368","-37,284,494,861","42,263,606,928","-1,499,701,719","-2,999,639,207",0,0,"1,481,469,225","452,589,632","-434,121,369","40,763,905,209","40,763,905,209",6.24,"332,242,970",0,"40,431,662,239","40,431,662,239",0,12.91,"1,804,762,259","4,804,401,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,4,상반기,2분기,IS(연결),계획,"407,869,460,701","200,298,897,501","207,570,563,200",,"21,770,943,306","12,568,750,964","9,202,192,342",2.26,"-833,457,395","-486,292,187",0,0,"-347,165,208","8,368,734,947","-2,563,345,229","-2,854,094,529",0,0,"290,749,300",0,0,"5,805,389,718",,1.42,"1,404,904,312",,"4,400,485,406",,,2.86,"366,065,699","3,220,160,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,4,상반기,2분기,IS(연결),실적,"602,570,261,322","305,603,146,024","296,967,115,298","223,347,758.90","48,129,788,052","13,128,609,303","35,001,178,749",5.81,"-6,528,714,861","-10,021,279,063","-9,230,394,533","7,742,889","12,715,215,846","28,472,463,888","517,115,148","-2,655,539,504",0,0,0,"533,366,567","2,639,288,085","28,989,579,036","28,989,579,036",4.81,"22,919,861",0,"28,966,659,175","28,966,659,175",0,8.15,"1,638,182,102","4,293,721,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,5,상반기,2분기,IS(연결),계획,"406,981,269,135","206,363,272,335","200,617,996,800",,"23,604,067,829","12,765,347,514","10,838,720,315",2.66,"-659,359,581","-472,531,132",0,0,"-186,828,449","10,179,360,734","-3,204,112,067","-3,494,861,367",0,0,"290,749,300",0,0,"6,975,248,667",,1.71,"1,688,010,177",,"5,287,238,490",,,2.81,"363,148,146","3,858,009,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,5,상반기,2분기,IS(연결),실적,"526,107,319,005","207,608,063,171","318,499,255,834","238,960,770.00","35,861,228,233","14,111,041,603","21,750,186,630",4.13,"-34,514,165,782","-9,769,700,954","17,857,535,427","6,527,142","-42,608,527,397","-12,763,979,152","-2,756,334,223","-2,579,719,901",0,0,0,"459,227,542","-635,841,864","-15,520,313,375","-15,520,313,375",-2.95,"36,504,108",0,"-15,556,817,483","-15,556,817,483",0,4.94,"1,820,373,269","4,400,093,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,6,상반기,2분기,IS(연결),계획,"407,419,094,829","210,750,092,429","196,669,002,400",,"23,398,511,143","19,188,870,880","4,209,640,263",1.03,"-667,893,061","-444,029,713",0,0,"-223,863,348","3,541,747,202","-2,368,492,669","-2,659,241,969",0,0,"290,749,300",0,0,"1,173,254,533",,0.29,"283,927,597",,"889,326,936",,,1.36,"435,382,601","3,094,624,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,6,상반기,2분기,IS(연결),실적,"643,236,161,563","226,855,877,357","416,380,284,206","321,160,387.30","55,369,299,813","19,439,221,197","35,930,078,616",5.59,"30,771,575,878","3,604,258,641","-1,715,215,048","55,471,897","28,827,060,388","66,701,654,494","-819,685,767","-1,892,046,995",0,0,"1,270,109,073",0,"-197,747,845","65,881,968,727","65,881,968,727",10.24,"302,250,428",0,"65,579,718,299","65,579,718,299",0,8.89,"2,150,317,361","4,042,364,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,7,하반기,3분기,IS(연결),계획,"433,030,135,339","237,600,646,539","195,429,488,800",,"26,607,599,823","12,068,282,362","14,539,317,461",3.36,"-629,435,953","-460,654,660",0,0,"-168,781,293","13,909,881,508","-2,978,882,035","-3,269,631,335",0,0,"290,749,300",0,0,"10,930,999,473",,2.52,"2,645,301,872",,"8,285,697,601",,,4,"363,601,898","3,633,233,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,7,하반기,3분기,IS(연결),실적,"574,807,752,367","216,101,220,272","358,706,532,095","278,915,668.90","30,097,028,886","11,497,082,045","18,599,946,841",3.24,"69,751,982,408","-1,764,468,022","10,812,534,405","82,057,146","60,621,858,879","88,351,929,249","-3,083,201,057","-1,856,475,087",0,0,0,0,"-1,226,725,970","85,268,728,192","85,268,728,192",14.83,"19,989,008,054",0,"65,279,720,138","65,279,720,138",0,5.07,"1,812,775,005","3,669,250,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,N,Y,N,E1,2023,8,하반기,3분기,IS(연결),계획,"417,304,408,972","224,751,632,972","192,552,776,000",,"26,006,009,248","11,485,925,397","14,520,083,851",3.48,"-647,005,776","-450,991,585",0,0,"-196,014,191","13,873,078,075","-2,375,619,298","-2,666,368,598",0,0,"290,749,300",0,0,"11,497,458,777",,2.76,"2,782,385,024",,"8,715,073,753",,,4.79,"367,300,456","3,033,669,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
