그룹,4개사,11개사,CIC,회사,year,month,반기,분기,계정,항목,피복선 매출액,피복선 매출액 누계,피복선 매출액(국내),피복선 매출액(국내) 누계,피복선 매출액(해외),피복선 매출액(해외) 누계,피복선 영업이익,피복선 영업이익 누계,피복선 영업이익(국내),피복선 영업이익(국내) 누계,피복선 영업이익(해외),피복선 영업이익(해외) 누계,피복선 조정영업이익,피복선 조정영업이익 누계,피복선 세전이익,피복선 세전이익 누계,소재 매출액,소재 매출액 누계,소재 매출액(국내),소재 매출액(국내) 누계,소재 매출액(해외),소재 매출액(해외) 누계,소재 영업이익,소재 영업이익 누계,소재 영업이익(국내),소재 영업이익(국내) 누계,소재 영업이익(해외),소재 영업이익(해외) 누계,소재 조정영업이익,소재 조정영업이익 누계,소재 세전이익,소재 세전이익 누계,초고압 매출액,초고압 매출액 누계,초고압 매출액(국내),초고압 매출액(국내) 누계,초고압 매출액(해외),초고압 매출액(해외) 누계,초고압 영업이익,초고압 영업이익 누계,초고압 영업이익(국내),초고압 영업이익(국내) 누계,초고압 영업이익(해외),초고압 영업이익(해외) 누계,초고압 조정영업이익,초고압 조정영업이익 누계,초고압 세전이익,초고압 세전이익 누계,해양 매출액,해양 매출액 누계,해양 매출액(국내),해양 매출액(국내) 누계,해양 매출액(해외),해양 매출액(해외) 누계,해양 영업이익,해양 영업이익 누계,해양 영업이익(국내),해양 영업이익(국내) 누계,해양 영업이익(해외),해양 영업이익(해외) 누계,해양 조정영업이익,해양 조정영업이익 누계,해양 세전이익,해양 세전이익 누계,동통신 매출액,동통신 매출액 누계,동통신 매출액(국내),동통신 매출액(국내) 누계,동통신 매출액(해외),동통신 매출액(해외) 누계,동통신 영업이익,동통신 영업이익 누계,동통신 영업이익(국내),동통신 영업이익(국내) 누계,동통신 영업이익(해외),동통신 영업이익(해외) 누계,동통신 조정영업이익,동통신 조정영업이익 누계,동통신 세전이익,동통신 세전이익 누계,광통신 매출액,광통신 매출액 누계,광통신 매출액(국내),광통신 매출액(국내) 누계,광통신 매출액(해외),광통신 매출액(해외) 누계,광통신 영업이익,광통신 영업이익 누계,광통신 영업이익(국내),광통신 영업이익(국내) 누계,광통신 영업이익(해외),광통신 영업이익(해외) 누계,광통신 조정영업이익,광통신 조정영업이익 누계,광통신 세전이익,광통신 세전이익 누계,신소재 매출액,신소재 매출액 누계,신소재 매출액(국내),신소재 매출액(국내) 누계,신소재 매출액(해외),신소재 매출액(해외) 누계,신소재 영업이익,신소재 영업이익 누계,신소재 영업이익(국내),신소재 영업이익(국내) 누계,신소재 영업이익(해외),신소재 영업이익(해외) 누계,신소재 조정영업이익,신소재 조정영업이익 누계,신소재 세전이익,신소재 세전이익 누계,이음쇠 매출액,이음쇠 매출액 누계,이음쇠 매출액(국내),이음쇠 매출액(국내) 누계,이음쇠 매출액(해외),이음쇠 매출액(해외) 누계,이음쇠 영업이익,이음쇠 영업이익 누계,이음쇠 영업이익(국내),이음쇠 영업이익(국내) 누계,이음쇠 영업이익(해외),이음쇠 영업이익(해외) 누계,이음쇠 조정영업이익,이음쇠 조정영업이익 누계,이음쇠 세전이익,이음쇠 세전이익 누계,기타 매출액,기타 매출액 누계,기타 매출액(국내),기타 매출액(국내) 누계,기타 매출액(해외),기타 매출액(해외) 누계,기타 영업이익,기타 영업이익 누계,기타 영업이익(국내),기타 영업이익(국내) 누계,기타 영업이익(해외),기타 영업이익(해외) 누계,기타 조정영업이익,기타 조정영업이익 누계,기타 세전이익,기타 세전이익 누계,합계 매출액,합계 매출액 누계,합계 매출액(국내),합계 매출액(국내) 누계,합계 매출액(해외),합계 매출액(해외) 누계,합계 영업이익,합계 영업이익 누계,합계 영업이익(국내),합계 영업이익(국내) 누계,합계 영업이익(해외),합계 영업이익(해외) 누계,합계 조정영업이익,합계 조정영업이익 누계,합계 세전이익,합계 세전이익 누계
Y,N,N,N,가온,2024,6,상반기,2분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,6,상반기,2분기, 사업별손익,실적,66374987796,4.21426E+11,54049225869,3.76237E+11,12325761927,45188697981,3077488542,12341630388,1311075815,7687594951,1766412727,4654035438,2913378339,11509882914,2625595233,10663841413,32445481657,2.06061E+11,32445481657,2.06061E+11,0,0,130763267,1285622116,130763267,1285622116,0,0,50542770,886362404,73017113,1334869715,2393863708,19854634639,2393863708,19854634639,0,0,0,1394153809,0,1394153809,0,0,0,1363327225,0,1350768665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10691000970,78594261167,7213164689,51742023919,3477836281,26852237248,293112553,949158693,295763904,1304473956,0,0,266679368,802274177,181650916,428840843,1912361170,13038570765,1930055526,13268327679,0,0,346172671,3147907746,449599635,2250840661,0,897067085,341444414,3123676507,337772422,3154230730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654743042,4290290680,654743042,4290290680,0,0,49718031,266260235,49718031,266260235,0,0,48099198,257478735,46908237,263677122,627373147,6957161749,627373147,6957161749,0,0,0,0,0,0,0,0,0,0,0,0,1.151E+11,7.50221E+11,99313907638,6.7841E+11,15785903852,71811178315,3712963070,19384732986,2052628657,14188945727,1660334413,5195787259,3429933338,17943001963,3073502519,17196228487
Y,N,N,N,가온,2024,7,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,7,하반기,3분기, 사업별손익,실적,75199337906,4.96625E+11,64416883245,4.40654E+11,10782454661,55971152642,1827211675,14168842063,1684948098,9372543049,142263577,4796299015,1823524749,13333407663,1454230338,12118071751,28907727495,2.34968E+11,28907727495,2.34968E+11,0,0,74825152,1360447268,74825152,1360447268,0,0,73407844,959770248,15619642,1350489357,1665987215,21520621854,1665987215,21520621854,0,0,337132350,1731286159,337132350,1731286159,0,0,337050669,1700377894,329582910,1680351575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15599247106,94193508273,7830159889,59572183808,7769087217,34621324465,898442510,1847601202,310734826,1615208782,587707683,232392420,897677699,1699951876,835413424,1264254267,2081814091,15120384856,1953559255,15221886934,128254836,0,282506541,3430414287,337240164,2588080825,0,842333462,282404473,3406080980,276470057,3430700786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510946474,4801237154,510946474,4801237154,0,0,23216013,289476248,23216013,289476248,0,0,23190962,280669697,19583074,283260196,762528284,7719690033,762528284,7719690033,0,0,0,0,0,0,0,0,0,0,0,0,1.24728E+11,8.74949E+11,1.06048E+11,7.84458E+11,18679796714,90490975029,3443334240,22828067227,2768096603,16957042330,675237637,5871024896,3437256395,21380258358,2930899444,20127127932
Y,N,N,N,가온,2024,8,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,8,하반기,3분기, 사업별손익,실적,75027345068,5.71652E+11,69664667419,5.10318E+11,5362677649,61333830291,3787059050,17955901113,4248376435,13620919484,0,4334981629,4107785019,17441192682,3669432529,15787504280,30507529459,2.65476E+11,30507529459,2.65476E+11,0,0,0,1220390016,0,1220390016,0,0,0,950126207,0,1164188494,2659725619,24180347473,2659725619,24180347473,0,0,279069548,2010355707,279069548,2010355707,0,0,290439310,1990817205,270081728,1950433303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14609770140,1.08803E+11,7643219782,67215403590,6966550358,41587874823,927401663,2775002865,322114676,1937323458,605286987,837679407,989855328,2689807204,925111792,2189366059,1979712126,17100096982,1979712126,17201599060,0,0,144729666,3575143953,246791952,2834872777,0,740271176,153192515,3559273495,135480464,3566181251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571869230,5373106384,571869230,5373106384,0,0,35369092,324845340,35369092,324845340,0,0,37813712,318483409,33029169,316289365,1039485846,8759175879,1039485846,8759175879,0,0,0,0,0,0,0,0,0,0,0,0,1.26395E+11,1.00134E+12,1.14066E+11,8.98524E+11,12329228007,1.0282E+11,5033571766,27861638993,4991664451,21948706781,41907315,5912932212,5569441843,26949700201,4846834820,24973962752
Y,N,N,N,가온,2024,9,하반기,3분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,9,하반기,3분기, 사업별손익,실적,66071203903,6.37723E+11,57099834260,5.67418E+11,8971369643,70305199934,1903293148,19859194261,2032797759,15653717242,0,4205477019,1878765549,19319958231,1577926355,17365430635,28969322112,2.94445E+11,28969322112,2.94445E+11,0,0,0,1053289571,0,1053289571,0,0,0,772271486,0,949418224,9492163323,33672510796,9492163323,33672510796,0,0,911562278,2921917985,911562278,2921917985,0,0,908038505,2898855709,902195917,2852629220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11037492246,1.19841E+11,6928338288,74143741878,4109153958,45697028781,163417081,2938419946,110525560,2047849019,52891521,890570928,159319635,2849126839,172229734,2361595793,1919151688,19019248670,1919151688,19120750748,0,0,0,3301953756,0,2675585729,0,626368027,0,3285370851,0,3291769979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404511223,5777617607,404511223,5777617607,0,0,0,304521036,0,304521036,0,0,0,298008938,0,293566346,897770813,9656946692,897770813,9656946692,0,0,0,0,0,0,0,0,0,0,0,0,1.18792E+11,1.12014E+12,1.05711E+11,1.00423E+12,13080523601,1.15901E+11,2517657562,30379296555,2708173800,24656880582,0,5722415973,2473891854,29423592055,2140447445,27114410197
Y,N,N,N,가온,2024,10,하반기,4분기, 사업별손익,계획,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,N,N,N,가온,2024,10,하반기,4분기, 사업별손익,실적,72129212581,7.09853E+11,65265951703,6.32684E+11,6863260878,77168460812,1895932907,21755127168,1690053913,17343771155,205878994,4411356013,1760909532,21080867763,1290542941,18655973576,29372139191,3.23817E+11,29372139191,3.23817E+11,0,0,196168369,1249457940,196168369,1249457940,0,0,141184747,913456233,148340143,1097758367,2633577513,36306088309,2633577513,36306088309,0,0,330543611,3252461596,330543611,3252461596,0,0,325613645,3224469355,305200797,3157830017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12809449926,1.3265E+11,8779481073,82923222951,4029968853,49726997634,0,2695977055,0,2009414897,0,686562158,0,2582705104,0,1934308899,2629515390,21648764060,2629515390,21750266138,0,0,124922072,3426875827,265344018,2940929747,0,485946081,119999710,3405370562,99513264,3391283242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746587262,6524204869,746587262,6524204869,0,0,21496335,326017371,21496335,326017371,0,0,20098750,318107688,19487833,313054179,1122739960,10779686652,1122739960,10779686652,0,0,0,0,0,0,0,0,0,0,0,0,1.21443E+11,1.24158E+12,1.1055E+11,1.11478E+12,10893229731,1.26794E+11,2326620402,32705916957,2465172124,27122052706,0,5583864252,2101384650,31524976705,1435798082,28550208279
